iter	RMSE
0	3917.568181
1	3807.686441
2	3701.606544
3	3598.637752
4	3498.631018
5	3401.579827
6	3307.533908
7	3216.107958
8	3128.696614
9	3043.268659
10	2960.095849
11	2881.035053
12	2803.113733
13	2728.898646
14	2655.080243
15	2583.382163
16	2515.113249
17	2448.156862
18	2383.414422
19	2321.208544
20	2260.85268
21	2202.254711
22	2145.14615
23	2090.846962
24	2037.009258
25	1985.675984
26	1935.219423
27	1886.904405
28	1839.696096
29	1794.615586
30	1750.853538
31	1708.520286
32	1668.31203
33	1628.59095
34	1590.640157
35	1553.544463
36	1517.580723
37	1482.735856
38	1448.893541
39	1416.597447
40	1385.330936
41	1355.919849
42	1326.880104
43	1298.456482
44	1271.214751
45	1244.498088
46	1219.430993
47	1195.090334
48	1171.156028
49	1148.488034
50	1126.006576
51	1104.529494
52	1083.963
53	1064.401766
54	1045.627363
55	1027.274208
56	1009.602602
57	992.6650735
58	976.553983
59	960.7816558
60	945.7094027
61	931.2101351
62	917.2516717
63	903.6870808
64	890.9529936
65	878.4280593
66	865.959222
67	854.1528329
68	843.0891894
69	832.4036182
70	822.7211465
71	813.3002477
72	804.3988924
73	795.5310109
74	786.9564189
75	778.5568044
76	770.7417782
77	763.0944277
78	755.630204
79	748.4868352
80	741.9633465
81	735.598743
82	729.5603632
83	723.6912969
84	718.0028955
85	712.6400849
86	707.3522929
87	702.6664093
88	697.832132
89	693.3289218
90	689.055221
91	684.8478328
92	680.9309175
93	677.1553351
94	673.6633913
95	670.1707352
96	666.6098705
97	663.2770864
98	660.1488824
99	657.2136037
100	654.4620209
101	651.785773
102	649.134938
103	646.5326604
104	644.1039277
105	641.72579
106	639.3681939
107	637.2580841
108	635.1772093
109	633.1493028
110	631.1935439
111	629.376129
112	627.5716157
113	625.8046627
114	624.1823137
115	622.5440426
116	621.057144
117	619.6089025
118	618.1918599
119	616.9057415
120	615.655737
121	614.4003113
122	613.2491348
123	612.1305587
124	611.0724582
125	610.0050415
126	608.9232151
127	607.9581826
128	606.9650688
129	606.0162767
130	605.0990362
131	604.2866959
132	603.4994758
133	602.7029229
134	601.9224004
135	601.1644975
136	600.4061174
137	599.7446313
138	599.1298218
139	598.4988724
140	597.8818868
141	597.2916826
142	596.7485536
143	596.2043563
144	595.625253
145	595.0806975
146	594.5767453
147	594.0461892
148	593.5399733
149	593.0570686
150	592.6279871
151	592.2188478
152	591.7460878
153	591.2740163
154	590.8478081
155	590.5005594
156	590.0862889
157	589.7382403
158	589.3909264
159	589.0020917
160	588.6509065
161	588.2867912
162	587.9412801
163	587.6284766
164	587.3541257
165	587.0507018
166	586.7765719
167	586.4976721
168	586.2140765
169	585.9700428
170	585.7064877
171	585.3932276
172	585.1433776
173	584.8954808
174	584.6795066
175	584.3724114
176	584.1225804
177	583.9079875
178	583.6739142
179	583.4186638
180	583.2340113
181	583.0295851
182	582.8658355
183	582.6625536
184	582.4788762
185	582.2909904
186	582.1254605
187	581.9592583
188	581.8244375
189	581.6364341
190	581.4034457
191	581.2126749
192	580.952801
193	580.813319
194	580.6347275
195	580.4861168
196	580.3388365
197	580.2069076
198	580.0344592
199	579.8696192
200	579.7303797
201	579.53833
202	579.4191301
203	579.2871352
204	579.0973979
205	578.9472924
206	578.7747876
207	578.6177276
208	578.4459302
209	578.3171682
210	578.210779
211	578.0921506
212	577.9745452
213	577.8828882
214	577.7388264
215	577.6284892
216	577.5011382
217	577.4039312
218	577.2758304
219	577.1482433
220	577.0190029
221	576.9014475
222	576.7626948
223	576.6660393
224	576.5411332
225	576.3881242
226	576.2589698
227	576.1067458
228	576.0114319
229	575.8448806
230	575.759475
231	575.6755588
232	575.54318
233	575.4701391
234	575.3928634
235	575.2424749
236	575.132542
237	575.0150339
238	574.9442657
239	574.8379923
240	574.7145627
241	574.5962842
242	574.5120789
243	574.4266033
244	574.2948208
245	574.2132744
246	574.1036886
247	574.0032596
248	573.9112703
249	573.8298094
250	573.7250046
251	573.6202882
252	573.4999502
253	573.4036839
254	573.2824668
255	573.1945627
256	573.1070034
257	573.0405264
258	572.9223768
259	572.8464069
260	572.7217621
261	572.5911316
262	572.521319
263	572.4364545
264	572.3513089
265	572.293999
266	572.2180349
267	572.0987332
268	572.0164891
269	571.9120531
270	571.8112947
271	571.7009634
272	571.6014904
273	571.5349161
274	571.4479661
275	571.3781528
276	571.2792308
277	571.2061066
278	571.12803
279	571.0795209
280	571.0064485
281	570.9545982
