iter	RMSE
282	570.876179
283	570.7744638
284	570.7216112
285	570.6261385
286	570.5607065
287	570.4617527
288	570.4207609
289	570.3673341
290	570.2778722
291	570.2031919
292	570.1416722
293	570.0899516
294	569.9846075
295	569.8797191
296	569.7569881
297	569.6912319
298	569.6146152
299	569.5308585
300	569.4681582
301	569.3887482
302	569.3084691
303	569.2607184
304	569.2189197
305	569.1444807
306	569.0956887
307	569.0153968
308	568.9557286
309	568.8698614
310	568.7770915
311	568.6999408
312	568.6473616
313	568.5968769
314	568.5336504
315	568.4764264
316	568.4210955
317	568.3669678
318	568.3199289
319	568.2791158
320	568.179575
321	568.1336093
322	568.0975209
323	568.0150061
324	567.9351594
325	567.8645886
326	567.8068898
327	567.7289786
328	567.6737567
329	567.6095744
330	567.540656
331	567.4686668
332	567.4302307
333	567.3843592
334	567.3041985
335	567.2618118
336	567.1599682
337	567.0980529
338	567.0667612
339	567.0094644
340	566.9493377
341	566.8953126
342	566.8219128
343	566.7893197
344	566.7425091
345	566.7041714
346	566.6437383
347	566.5758436
348	566.5188955
349	566.4314286
350	566.3886685
351	566.3558053
352	566.3031223
353	566.2312101
354	566.1876316
355	566.1630634
356	566.0657838
357	565.9774738
358	565.932399
359	565.8851255
360	565.8399444
361	565.799546
362	565.7556551
363	565.7297803
364	565.6786881
365	565.6167857
366	565.5044207
367	565.4623624
368	565.3962919
369	565.3217486
370	565.2714324
371	565.2116898
372	565.1473526
373	565.0959448
374	565.0680804
375	565.0173315
376	564.9609938
377	564.9068296
378	564.8179057
379	564.7484747
380	564.7212832
381	564.643574
382	564.5724561
383	564.5381919
384	564.4507057
385	564.3907679
386	564.3421923
387	564.3118892
388	564.2317961
389	564.1613825
390	564.1255944
391	564.0698493
392	564.0084776
393	563.96404
394	563.9301074
395	563.8846724
396	563.8306504
397	563.7719353
398	563.6881004
399	563.6256089
400	563.5607341
401	563.5298537
402	563.5032763
403	563.4538458
404	563.3992227
405	563.3698293
406	563.3368642
407	563.286497
408	563.2534581
409	563.2111511
410	563.1621314
411	563.1310326
412	563.0937141
413	563.0519782
414	563.0027519
415	562.9557627
416	562.9208811
417	562.8376825
418	562.7939427
419	562.7601347
420	562.7184131
421	562.6951661
422	562.6358119
423	562.578633
424	562.5214539
425	562.4839289
426	562.4448186
427	562.4216703
428	562.3848141
429	562.3517651
430	562.3254517
431	562.2797023
432	562.237569
433	562.179889
434	562.1438824
435	562.0985926
436	562.0472238
437	562.0120112
438	561.9905973
439	561.9422399
440	561.9036049
441	561.8501605
442	561.8156909
443	561.7799882
444	561.7478282
445	561.7076825
446	561.670834
447	561.65296
448	561.5946295
449	561.5327717
450	561.4939316
451	561.4741014
452	561.4487265
453	561.4115931
454	561.386613
455	561.3392237
456	561.3228767
457	561.2692585
458	561.2455199
459	561.220042
460	561.1544565
461	561.0860709
462	561.038306
463	560.9961515
464	560.9574935
465	560.9073862
466	560.8806202
467	560.8642779
468	560.8289391
469	560.7845194
470	560.7460494
471	560.71274
472	560.6734119
473	560.6452212
474	560.6292261
475	560.5898739
476	560.5616779
477	560.5397925
478	560.503753
479	560.4756553
480	560.4138822
481	560.3739114
482	560.3606955
483	560.3236855
484	560.26388
485	560.2332244
486	560.2217317
487	560.1843294
488	560.1575697
489	560.1387966
490	560.0937637
491	560.0377416
492	560.0007239
493	559.9504527
494	559.931805
495	559.9070519
496	559.8802028
497	559.8514611
498	559.8412153
499	559.7899877
500	559.7282918
501	559.6854616
502	559.6677661
503	559.6375416
504	559.609059
505	559.5744995
506	559.5546884
507	559.5366279
508	559.4954758
509	559.4711378
510	559.4440807
511	559.3944131
512	559.282926
513	559.2711721
514	559.2161419
515	559.1982037
516	559.1459207
517	559.137616
518	559.1046619
519	559.0618095
520	559.0110151
521	559.0008843
522	558.9534269
523	558.937802
524	558.9127743
525	558.8445149
526	558.8013416
527	558.768496
528	558.7624949
529	558.7106651
530	558.6766327
531	558.6281635
532	558.5803968
533	558.5279683
534	558.4711954
535	558.4434349
536	558.4251388
537	558.3911392
538	558.3527521
539	558.335356
540	558.2401348
541	558.2164207
542	558.1833418
543	558.1611122
544	558.1185529
545	558.0522545
546	558.035371
547	557.9778072
548	557.9283696
549	557.8775945
550	557.8113097
551	557.7142886
552	557.6819202
553	557.6221885
554	557.5587359
555	557.5146183
556	557.5014684
557	557.4443517
558	557.4130018
559	557.3973909
560	557.3851879
561	557.3536
562	557.2971259
563	557.271231
564	557.2614686
565	557.2299654
566	557.2160831
567	557.1744003
568	557.108725
569	557.0962496
570	557.0596632
571	557.0453994
572	557.0365994
573	556.9350568
574	556.9238018
575	556.9097661
576	556.8702765
577	556.8235147
578	556.7811721
579	556.7037523
580	556.6679734
581	556.6552508
582	556.6109111
583	556.5539299
584	556.529295
585	556.4863455
586	556.4494123
587	556.4129258
588	556.400008
589	556.3936545
590	556.3342342
591	556.2945263
592	556.2845656
593	556.24936
594	556.1965348
595	556.1735682
596	556.1133095
597	556.097738
598	556.0680325
599	555.9940783
